run,corner,temperature,time,Vout,Vin
run_0,ss,-40,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_1,tt,-40,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_2,ff,-40,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_3,ss,27,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_4,tt,27,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_5,ff,27,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_6,ss,130,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_7,tt,130,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
run_8,ff,130,"[0.000, 1.000e-12, 2.000e-12, …]","[1.800, 1.801, 1.801, …]","[0.000, 1.800e-03, 3.600e-03, …]"
